Deadline,Scholarship Name,Award amount,Education Level,Link,Open date,Eligibility
March 1,Engebretson Foundation Scholarship ,"$10,000",High school,https://www.engebretsonfoundation.org/application.html,,"Be a graduating senior from a United States high school. 
Plan to attend a four year college. 
Be in need of financial assistance in order to attend a four year college. 
Have achieved a score of 28 composite or higher on the ACT exam (or at least 1240 on the SAT). 
Have achieved at least a 3.75 GPA or above and/or top 5% of graduating class."
March 1,"Horatio Alger: National Scholarship
","105 scholarships at $25,000 each",High school,https://horatioalger.org/scholarships-and-services/undergraduate-scholarships/,,"Be enrolled full time as a high school junior in the United States
Exhibit a strong commitment to pursue and complete a bachelor’s degree at an accredited non-profit public or private institution in the United States immediately after high school graduation (students may start their studies at a two-year institution and then transfer to a four-year institution)
Demonstrate financial need ($100,000 or lower adjusted gross family income is required)
Be involved in co-curricular and community service activities
Display integrity and perseverance in overcoming adversity
Maintain a minimum grade point average (GPA) of 2.0
Be a United States citizen"
March 1,Netfloor USA Access Flooring College Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.netfloorusa.com/scholarship/netfloor-usa-access-flooring-college-scholarship,,"Any legal U.S. resident at least seventeen (17) years old who meets one of the following criteria:
Currently attending attending high school and will be attending an accredited university or college in the next academic year
Currently attending an accredited university or college (undergraduate and graduate students are both eligible)
Must have a cumulative GPA of at least 3.0 (or equivalent)"
March 1,ACS Scholars Program,"$10,000","High school, Undergraduate",https://www.acs.org/education/acs-scholars/apply.html,December 1,"Graduating high school seniors and undergraduates (freshman through senior) who are U.S. citizens or permanent resident. Must be a full-time student at a U.S. high school, college, university, or community college.
Must intend to major or already be majoring in the chemical sciences of the following fields: Chemistry, Biochemistry, Chemical Engineering, Chemical Technology, Other chemistry-based sciences.
Scholarship is NOT intended for Pre-Med programs. Those pursuing degrees in Pharmacy or Nursing are also NOT eligible for this scholarship.
Academic Achievement: Demonstrate high academic achievement in chemistry or science, with a minimum Grade Point Average (GPA) of 3.0 or higher."
March 1,Project Yellow Light Scholarship - Billboard,"$2,000","High school, Undergraduate",https://projectyellowlight.com/,Late October,"Competition is open to high school juniors and seniors and current undergraduate students.
Applicant must design a billboard advertisement to warn their peers of the dangers of texting and driving."
March 1,Alvaro L. Martins Scholarship,"$10,000","Undergraduate, Graduate",https://elcscholarships.elcinfo.com/,January 22,"Awarded to high-potential female students pursuing degrees in business, marketing, management, or related disciplines who aspire to lead and influence at the highest levels.
Rising Sophomore, Junior, Senior college student or Graduate Student
Minimum of 3.0 GPA"
March 1,Ann Fudge Scholarship,"$10,000","Undergraduate, Graduate",https://elcscholarships.elcinfo.com/,January 22,"Supports high-achieving male students pursuing degrees in business, management, or related fields
Rising Sophomore, Junior, Senior college student or Graduate Student
Minimum of 3.0 GPA"
March 1,Ronald C. Parker Legacy Scholarship,"$10,000","Undergraduate, Graduate",https://elcscholarships.elcinfo.com/,January 22,"Be a U.S. citizen
Enrolled full-time at a four-year accredited higher education institution or HBCU in good standing
Student with a demonstrated commitment to the principles of inclusion throughout their education and within the community
Demonstrate financial need
Minimum grade point average of 2.8"
March 1,Life Lessons Scholarship Program,Varies,"High school, Undergraduate",https://lifehappens.org/life-lessons-scholarship-program/,February 1,"Open only to legal residents of the fifty (50) United States, the District of Columbia and Puerto Rico, who are between 17 and 24 years of age, have experienced the death of a parent or legal guardian, and are currently enrolled in, or have been accepted to, a college, university or trade school within the fifty (50) United States, the District of Columbia or Puerto Rico."
March 1,The Elrod Pope Law Firm’s Focus Forward Scholarship,"$5,000","High school, Undergraduate, Graduate",https://elrodpope.com/personal-injury-resources/scholarship/,,"Open to students who reside in South Carolina and North Carolina who are: High school seniors planning to enroll in an accredited two- or four-year college or university in the fall, or students currently enrolled in an accredited two- or four-year college or university for the fall semester."
March 1,TWF Scholar Athlete Scholarship,Varies,High school,https://thewallsfoundation.com/about-the-twf-scholarship,January 1,"Be a graduating honor student equivalent to the senior year of high school (Scholar Athlete Award)
Be competitive in one or more sports at their academic school or a private sports club (Scholar Athlete Award). 
Be involved in a volunteer organization or charity.
Have demonstrated a need for financial assistance.
Have a minimum GPA of 3.5.
Be a U.S. citizen or permanent legal resident (you will be asked to prove citizenship and age if you win)"
March 1,Larry D. Walls Legal Scholar Award,Varies,Undergraduate,https://thewallsfoundation.com/about-the-twf-scholarship,January 1,"Be a graduating female undergraduate student matriculating to an accredited law school in the fall of 2026
Be involved in a volunteer organization or charity
Have demonstrated a need for financial assistance
Have a minimum GPA of 3.5
Be a U.S. citizen or permanent legal resident (you will be asked to prove citizenship and age if you win)"
March 2,Science without Borders® Challenge,$200-$500,"K-8, High school",https://www.livingoceansfoundation.org/education/science-without-borders-challenge/,,Open to primary and secondary school students 11-19 years old
March 2,The Devadoss Law Firm Civil Rights Scholarship,"$1,000","Undergraduate, Graduate",https://www.fedemploymentlaw.com/the-devadoss-law-firm-civil-rights-scholarship/,,"Must be a current or aspiring law student
Must be a citizen or permanent resident of the United States
Must be enrolled at an accredited college or university within the United States as an undergraduate or graduate student
Must be at least 17 years of age"
March 2,USPAACC – Denny’s Hungry for Education Scholarship,"$3,000","High school, Undergraduate, Graduate",https://www.dennys.com/hfe-scholarships#College,December 1,"All applicants must be enrolled in an accredited educational institution (K-12 or college) in the United States or Puerto Rico.
Applicants must be U.S. citizens or legal permanent residents.
Student must possess a minimum 2.5 GPA (K-12 and college). "
March 4,DNA Day Essay Contest,"1,000",High school,https://www.ashg.org/dna-day/,January 9,"This contest is open to students in grades 9-12 worldwide and asks students to examine, question, and reflect on important concepts in genetics."
